GID_2,id,province,district,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022
KHM.4.1_2,151,KâmpóngChhnang,Baribour,504,517,528,858,520,509,546,545,546,663,720,741,771,816,874,932,1158,1182,1270,1330,1259,1321,1480,1689,1937,2104,1681,2175,2568,2740,2541,2770,2555
KHM.4.2_2,152,KâmpóngChhnang,CholKiri,542,557,568,927,560,625,608,636,648,768,922,1000,1102,1126,1215,1336,1411,1571,1629,1646,1891,1705,1733,1663,2022,2023,1751,2095,3080,2991,3307,3929,3550
KHM.4.3_2,153,KâmpóngChhnang,KampongChhnang,740,758,771,1313,726,723,820,793,762,893,982,946,962,1021,1102,1431,1353,1502,1564,1566,1623,1928,1994,2104,2413,2471,2643,2873,2985,3447,2979,3112,3102
KHM.4.4_2,154,KâmpóngChhnang,KampongLeaeng,714,734,781,1282,770,873,911,886,903,1013,1084,1171,1213,1290,1407,1709,1783,1924,2189,2043,2067,2234,2272,2353,2309,2575,2831,3010,3549,3231,3098,2692,2876
KHM.4.5_2,155,KâmpóngChhnang,KampongTralach,738,841,864,1135,770,844,904,911,891,898,995,1098,1135,1445,1540,1538,1733,1872,1967,1939,1813,2029,2236,2456,3110,3190,3418,2523,2999,3118,3040,3424,3711
KHM.4.6_2,156,KâmpóngChhnang,RoleaB'ier,956,984,984,1521,971,1048,1058,1055,1082,1181,1302,1355,1416,1484,1531,1608,1897,2078,2183,2015,2131,2298,2514,2452,2404,2487,2587,2681,2719,3335,2981,3386,2991
KHM.4.7_2,157,KâmpóngChhnang,SameakkiMeanChey,833,869,894,1335,882,987,978,983,968,989,1058,998,1036,1218,1251,1639,1474,1591,1626,1616,1759,1833,1678,1640,1811,1938,2001,2228,2437,2495,2443,2543,2973
KHM.4.8_2,158,KâmpóngChhnang,TonléSap,636,725,677,1059,667,748,770,824,830,898,985,1005,1046,997,1080,1203,1309,1422,1499,1503,1572,1492,1545,1613,1721,1779,1984,2060,2286,2569,2412,2430,2725
KHM.4.9_2,159,KâmpóngChhnang,TuekPhos,736,756,738,1204,738,778,812,815,903,1021,1093,1147,1249,1224,1321,1495,1639,1746,1814,1810,1864,1871,1884,1969,1887,1846,2149,2234,2633,2681,2814,3012,3278
KHM.5.1_2,160,KâmpóngSpœ,Aoral,1079,1060,1087,1751,1065,1046,1077,1081,1101,1240,1328,1397,1454,1548,1672,1820,1995,2153,2252,2175,2195,2080,1980,2065,2080,2225,2393,2657,2992,3242,3084,3300,3713
KHM.5.2_2,161,KâmpóngSpœ,Basedth,734,746,755,1132,719,846,831,848,886,979,1058,1107,1173,1219,1328,1435,1603,1730,1844,1735,1828,1955,2093,2288,2347,2662,2588,3192,2672,2799,2595,2788,3034
KHM.5.3_2,162,KâmpóngSpœ,ChbarMon,1355,1382,1486,2287,1617,1701,1347,1240,1239,1384,1482,1582,1646,1730,1867,2172,2238,2695,2831,2848,2833,3040,4429,4622,4866,5139,5454,4114,4156,4975,5488,3405,3194
KHM.5.4_2,163,KâmpóngSpœ,KongPisei,1063,1094,1126,1725,1111,1192,1368,1376,1420,1530,1638,1749,1815,2089,2091,2511,2702,1583,1757,1614,1736,1952,2114,2205,2132,2252,2073,3220,3615,4049,3771,3815,3851
KHM.5.5_2,164,KâmpóngSpœ,Odongk,698,756,774,1187,804,797,858,867,878,920,985,1071,1105,1151,1231,1280,1443,1329,1367,1340,1500,1616,1803,1804,1970,1976,2286,2516,2945,3053,2943,4010,5000
KHM.5.6_2,165,KâmpóngSpœ,PhnumSruoch,647,694,727,974,665,772,775,840,838,856,917,969,1008,1043,1116,1302,1382,1480,1608,1632,1720,1861,1930,2184,2336,2487,2778,2743,2494,2704,2366,2689,2695
KHM.5.7_2,166,KâmpóngSpœ,SamraongTong,1220,1254,1336,2111,1317,1399,1418,1631,1628,1760,2054,2011,2094,2402,2439,1436,1745,1883,1604,1615,1674,1921,2070,2160,2071,2191,2130,2614,2962,3224,3217,3479,3477
KHM.5.8_2,167,KâmpóngSpœ,Thpong,680,705,748,1212,743,788,812,812,831,925,990,1045,1087,1163,1277,1506,1621,1731,1801,1837,1875,1842,2106,2200,2066,2175,2560,2596,2729,2856,2626,2983,3090
KHM.6.1_2,168,KâmpóngThum,Baray,851,895,916,1414,858,810,741,721,717,814,844,895,968,1054,1142,1196,1562,1646,1727,1640,1702,1829,2145,2210,2618,2956,3208,3547,3814,3646,3399,2819,2882
